Instance,Min,Max,Mean,Median,Std
identify different tooling types,3939,46369,30693.5,36233.0,16463.866336617288
owl dl,0,293,25.894736842105264,0.0,67.36225300711006
semantic information transferring,12,8452,4232.0,4232.0,4220.0
eclipse plugin,0,73962,12578.5,0.0,27457.065124481167
optimus workflow management tool,20,26158,3948.909090909091,1334.0,7205.0240231073285
qfview web interface,4,4,4.0,4.0,0.0
system architecting,0,383,29.785714285714285,0.0,98.08027220556828
semantic lexicon,0,117089,8326.266666666666,301.0,29076.80832889944
owl-ql,0,0,0.0,0.0,0.0
ad_prt,0,0,0.0,0.0,0.0
knowledge systematisation,0,0,0.0,0.0,0.0
managing project files,1732,32292,12836.0,4484.0,13803.268405224419
accessory manufacture,0,3695,1280.0,145.0,1708.6885809493392
wide body transports,5,42092,17271.75,13495.0,17863.808347815982
issue tc pc ac certification,9,106033,53021.0,53021.0,53012.0
engine accessory purchase,10,10,10.0,10.0,0.0
knowlege graph construction,43513,43513,43513.0,43513.0,0.0
vampzero element,1443,18719,10081.0,10081.0,8638.0
digital mockup,1506,9676,5856.666666666667,6388.0,3356.4824179819893
orbital space environment domain ontology,29,222412,41939.125,17437.0,69984.82682774441
cpacspy library,0,0,0.0,0.0,0.0
brics technology,0,21829,4118.0,461.0,7950.518410770457
gkn fokker,0,0,0.0,0.0,0.0
nextgen avionics systems,9,11577,5013.333333333333,3454.0,4849.625163063865
jupyter notebook,0,0,0.0,0.0,0.0
processe data,9,9,9.0,9.0,0.0
knowledge mangement tool,6602,6602,6602.0,6602.0,0.0
software interlinking,711,711,711.0,711.0,0.0
